Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
"2000,830835439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0161420395","0,0175159189","0,0390630797",0,0,0,0,0,"0,0350003109",0,0,0,0,0,0,0,"0,0435003302",0,0,"0,0304233986",0,0,"0,034703749",0,0,0,0,0,0,0,0,0,0
"2017,1503360284","0,025093356",0,"0,0364825299","0,0239060387","0,0402253861","0,0522254073","0,0339008091","0,0257533946",0,0,0,0,"0,035803758","0,0220520005","0,0216366296",0,0,0,0,"0,0498465412",0,0,"0,0213552606",0,"0,0202663498",0,0,"0,0304193741","0,0271781336","0,0312571356","0,0536974224",0,0,"0,0240405245","0,0138550386",0,"0,0491330572","0,0212148197","0,0233565092",0,"0,0312223986","0,0365225053","0,0366969746","0,0716459304","0,0784966551","0,0287899931","0,0520303675","0,0563424683",0,"0,0336583401","0,0734611181","0,0404385809",0,"0,0349213287","0,0152660442","0,0228879281","0,0213743793",0,"0,0213022944",0,"0,0206505095"
"2058,8749893012",0,0,"0,031623181","0,0286857951","0,0325590851","0,0309563504","0,028873279","0,0272953417","0,0188449967","0,0603042781",0,"0,0265187479","0,0299759964",0,"0,0349356451",0,0,0,0,"0,0282696228","0,0434693333","0,0133030606","0,0298222843","0,0214513182",0,"0,0257149571",0,0,"0,0189535066","0,0197725826","0,030834626","0,0148000832",0,"0,0258033562",0,0,"0,0365012432",0,0,0,"0,0361259061","0,0227297942","0,0397850119","0,0562567672","0,0480126119","0,0243217236","0,0560089004","0,0330585123","0,0496386367","0,0235463011","0,0539856423","0,0749052017","0,0344552373","0,0178999679",0,"0,026837495","0,0177186784",0,"0,0295287523",0,"0,0177269684"
"2066,5072632471",0,0,"0,0140022953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0277350044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2090,7694557438",0,0,"0,0159252493",0,0,0,0,0,0,0,0,0,"0,0196413823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0238067347",0,0,0,0,0,"0,0289269293",0,0,0,0,0,0,0,"0,028569222",0,0,0,0,0,"0,0238452041",0,0,0,0,0,0,0,0,0,0
"2211,5731083066",0,0,0,"0,0262729918",0,0,0,0,0,"0,0249030583",0,"0,0212278923",0,0,"0,0175317432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,020324374",0,"0,0329841261",0,"0,0188931394","0,034678518","0,0195415629","0,0230595352",0,"0,0196526997","0,0341984852",0,0,0,"0,0180765437",0,0,"0,0239387282",0,0
"2222,1235922408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0204301767",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0232237947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2361,2286734954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0536895551",0,0,0,0,0,0,0,0
"2406,3610733402",0,0,"0,0379549705",0,"0,0414189064","0,037255287","0,0339541906","0,0278632385","0,0198297999","0,0522802793",0,"0,0216114799",0,0,"0,0349976769",0,0,0,0,0,0,"0,0145712254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0201254834",0,"0,0290117525",0,"0,0329929191","0,0481948252",0,"0,0280869981","0,0493859093",0,0,"0,0226357897",0,0,"0,0313810689","0,0251155854",0,0,0,0,0,0,0
"2408,880981015",0,0,0,"0,0224204659",0,0,0,0,0,0,0,0,"0,0310402999",0,0,0,0,0,0,"0,0326218034","0,0326879864",0,"0,0284216716","0,0195965577","0,0168942703","0,0223766233","0,0152224137",0,"0,0221077675","0,0258045213","0,0389685354","0,0158027812",0,"0,0235035809",0,0,"0,0509952442","0,0191432252",0,0,0,"0,0258656431",0,0,"0,0641715997",0,0,"0,0445770419","0,0434463537",0,"0,059674789","0,0546985698",0,0,0,"0,0220464227",0,0,"0,021700715",0,0
