Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2405.3180154882,0.0054072383,0.0026125247,0.012842652,0.00858744,0.017130878,0.0197815685,0.0117042775,0.0098540111,0.0089053846,0.0152037996,0.0068104567,0.0090539005,0.01313411,0.0056437241,0.0173084776,0.0011642985,0.005556862,0.0046290729,0.004235585,0.0131621621,0.011783524,0.015904697,0.0162207051,0.0192974752,0.0103217351,0.0188936823,0.0126579545,0.012081914,0.0099774873,0.0132985764,0.0131279526,0.0153303931,0.0141420575,0.0040637699,0.0095464069,0.0086129993,0.0049232351,0.0080316068,0.0017460105,0.0058249423
2406.3610733402,0.0065540792,0.0027523048,0.020914818,0.0119485306,0.0226816045,0.0220719304,0.018040647,0.0145641257,0.0103246056,0.0296969403,0.0093382347,0.0116998919,0.0158511456,0.0072375648,0.0203487706,0.00109303,0.0060501337,0.0047556969,0.0050858001,0.0168873408,0.0158551309,0.0174243455,0.025771676,0.0401666727,0.0175734504,0.0273769409,0.0257827532,0.0251847561,0.0119415519,0.0339982231,0.0289160384,0.0193135315,0.0158288425,0.0054836431,0.0135727795,0.0102371319,0.0074745062,0.0120816907,0.0018111878,0.0083481829
2457.0102791846,0.0021229594,0.0006881685,0.0029179121,0.0034628789,0.0027835013,0.0041881441,0.0028569281,0.0020634233,0.001315247,0.0048490623,0.0014719468,0.001932918,0.0030891274,0.0016349062,0.0034501463,0.0007029699,0.0017204703,0.0013415386,0.0013839372,0.0038821342,0.0037576072,0.0030227853,0.0040120903,0.0069866941,0.0027661736,0.0044056165,0.004588357,0.0032818595,0.0026631529,0.0063906673,0.0049603028,0.0032312538,0.0029986455,0.0011652625,0.0030888538,0.0020055558,0.0019691054,0.0032705378,0.0017199639,0.0019564383
2553.6254905711,0.0026138569,0.0012784035,0.0062938843,0.0044852076,0.0074999695,0.0062195215,0.0050886628,0.004243471,0.0029526176,0.0093603193,0.0031291781,0.0032642353,0.0059419277,0.0032087951,0.0057108366,0.0009682142,0.0024022836,0.0019805074,0.0021899346,0.006762788,0.0070521811,0.0074972599,0.0088310863,0.0133308641,0.00600562,0.0085157447,0.0089863021,0.0075176865,0.0036295557,0.0102494631,0.0089993733,0.0057208056,0.0071066775,0.0025214708,0.005592438,0.0039767254,0.0033954333,0.0051789748,0.0021892513,0.0031246601
2596.4033464019,0.0010004749,0.0004568053,0.0016614175,0.0012369984,0.0017470282,0.0015177081,0.0011547666,0.000860196,0.0006687432,0.0019774515,0.0007466993,0.0007497022,0.0019158672,0.001110681,0.001532259,0.0008092228,0.0006127051,0.0008877733,0.0007220924,0.0023859851,0.0023009657,0.0019116138,0.0032727782,0.0034640298,0.0015644396,0.0019432114,0.0022119408,0.0015078375,0.0009895357,0.0026596936,0.0019161923,0.001313911,0.0025494291,0.0008471266,0.0017108423,0.0011464593,0.0009475609,0.0014994892,0.0019000715,0.0010221245
2674.4102249487,0.0060139284,0.0029698239,0.0045004486,0.0088452049,0.0097083749,0.0060146106,0.0046056731,0.0049535234,0.0064859137,0.0057492865,0.0040083885,0.0095040146,0.006191463,0.0045999867,0.0068200408,0.003197074,0.0063102341,0.0052521193,0.0057904961,0.0060456672,0.0072042651,0.0094465503,0.0199948753,0.0029389456,0.0081560354,0.0174543812,0.0047352363,0.0078536783,0.0064300557,0.0036937267,0.0065138089,0.0238179833,0.0055026104,0.0027231995,0.0068207878,0.0054927999,0.0073585518,0.0062692752,0.0032242136,0.0062100944
2675.5091152361,0.0065815522,0.0030588709,0.0058515844,0.0105241307,0.0108411614,0.0060623134,0.0056160731,0.0059167633,0.006660719,0.0090761651,0.0045915353,0.010193815,0.0066967956,0.0054183617,0.0070906676,0.0032139087,0.0063871972,0.0052103729,0.0063541334,0.0069640144,0.0086460394,0.0095864249,0.0249942502,0.0042408093,0.0106228183,0.0207310205,0.0076618396,0.0132527932,0.0066333011,0.0075561498,0.012024016,0.0265119287,0.0057260052,0.0033601267,0.0081816317,0.0057965765,0.009888903,0.0079368692,0.0032772557,0.0077400788
2731.5909294674,0.0007756863,0.0005785011,0.0011055218,0.001426259,0.0011400877,0.0009521859,0.0010631004,0.0008709299,0.0007269331,0.0015637329,0.0007219565,0.0015239631,0.0014315169,0.0009317872,0.0010153817,0.0005982987,0.0004667401,0.0008587129,0.0006290283,0.0022595027,0.0017395363,0.0017593346,0.0025937996,0.0025694011,0.00134529,0.0021206819,0.0017027617,0.0021873199,0.0009786424,0.0017651462,0.0021374285,0.0055259232,0.0016759127,0.0006998968,0.0013143244,0.0008878715,0.0010646252,0.0015560822,0.0017827896,0.0013781246
3023.8168266222,0.0033587053,0.0019225132,0.0017411834,0.0046780576,0.0030266503,0.0031706909,0.0026664472,0.0032061792,0.0027149668,0.0043255093,0.002156175,0.0047170538,0.0027769067,0.0024656905,0.0041652543,0.0017866057,0.0023924181,0.0025828219,0.0023869362,0.0031922188,0.0040479053,0.004969008,0.0073997682,0.0019484695,0.0032428968,0.0061642666,0.0025810921,0.0045342544,0.0028710996,0.0022551771,0.0036933387,0.0014181299,0.0032875394,0.0016972535,0.0032996046,0.0027487175,0.0033991862,0.0045933073,0.002234893,0.0028143915
3024.9808846442,0.0040089006,0.0019824223,0.0023579005,0.0059946889,0.0037025896,0.0033222654,0.0036223617,0.0042400966,0.0029473614,0.0067402144,0.0026340983,0.0054074044,0.0032148441,0.0031082876,0.0045612195,0.0018151727,0.0025115023,0.002583023,0.0028288372,0.0039149287,0.0056320618,0.0051833427,0.0105656742,0.0035830195,0.0046070099,0.0079607694,0.004806537,0.0053967551,0.00312695,0.0050222574,0.0065259429,0.00993521,0.0036362471,0.0024053315,0.0043782093,0.0031360016,0.0047820499,0.0062989401,0.0021737133,0.0039204408
