Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2731.5909294674,0.0011297017,0.000891837,0.0016440958,0.0020420431,0.0016501239,0.0014280412,0.0015391361,0.0012525957,0.0010824597,0.0021255264,0.0010337236,0.0022165951,0.0020915475,0.0013237732,0.00150827,0.0008561256,0.0006448053,0.0011352608,0.0008564965,0.0032107549,0.0023930976,0.0026055502,0.003443624,0.0035278664,0.0019465319,0.0028948888,0.0023284013,0.0029069917,0.00146601,0.0023904984,0.0029104789,0.0078957874,0.0023815902,0.000999422,0.001823595,0.0012817698,0.0014549305,0.0021488842,0.0026767373,0.0019560648
3023.8168266222,0.0058385224,0.0030561698,0.0035065925,0.0085828823,0.0053590015,0.0049825691,0.005244385,0.0060982249,0.0043888491,0.009161733,0.0037715979,0.0078650371,0.0046971146,0.004415888,0.0067753346,0.0025973912,0.0034696616,0.0037003901,0.0038517965,0.0055631165,0.0077480842,0.0076764587,0.0140273788,0.0049195955,0.0066659917,0.0108670435,0.0065725854,0.007172395,0.0046841829,0.0068015321,0.008886201,0.0141960543,0.0051673637,0.0034347078,0.0060746651,0.0045272678,0.0065352107,0.0086985718,0.0033555399,0.0055645451
3162.3722970755,0.0027752303,0.0016775228,0.0017704384,0.0053701227,0.0023646376,0.0033170632,0.0027574265,0.0034335534,0.0021731858,0.0085521344,0.0020371002,0.0048873621,0.0034971019,0.0031901889,0.0047896717,0.0012410263,0.0021201176,0.0013390523,0.0018019983,0.0027793007,0.0042443504,0.0124624944,0.0100198032,0.0035646475,0.0035799147,0.0103460539,0.0045421813,0.0066425103,0.0031554313,0.0048179272,0.0075037201,0.0154517256,0.0026703788,0.0019028759,0.0039471073,0.0033280429,0.0040755622,0.0071081285,0.0022402232,0.006503043
3247.907921832,0.0081817944,0.0039308418,0.0060821188,0.0123053731,0.0089996348,0.0070666342,0.0066518828,0.0080463094,0.0083080924,0.010983034,0.0055909135,0.0126969424,0.0069205499,0.0064624721,0.0087394879,0.0033556472,0.0067932921,0.0053404942,0.0062389431,0.0071906224,0.0073812599,0.0094016569,0.0154685842,0.0046802658,0.008002397,0.0140024473,0.0066878338,0.010829458,0.0080796972,0.0067792733,0.0095838392,0.0011255756,0.0057256762,0.0042391158,0.0083080081,0.0065010742,0.0109553592,0.0090976832,0.0036021028,0.0086463262
3300.0162794394,0.0062134642,0.0028891036,0.0039932935,0.008571287,0.0040889408,0.0036323871,0.0060543325,0.0062624875,0.0056297181,0.0072094979,0.0041097262,0.008265706,0.0043929451,0.0065664914,0.0070214701,0.0031313847,0.003960432,0.0035680052,0.0036005438,0.0028081556,0.0060308659,0.0062633961,0.0051376224,0.0034511029,0.0053070929,0.0077723175,0.0055603504,0.0076264916,0.0059293203,0.0056591704,0.0083703859,0.008136169,0.0024378369,0.0040121814,0.0073600699,0.00503704,0.0078140538,0.0090107849,0.0030475977,0.0061559085
3428.6863072056,0.0119910467,0.0074326699,0.0087859055,0.0156536499,0.0124203312,0.0094602076,0.0104103356,0.0115529908,0.0120527333,0.0141884018,0.0089190327,0.0168844386,0.009287667,0.0086064806,0.010823727,0.0073316878,0.0096643206,0.0092489416,0.010266154,0.0107702203,0.0099412991,0.0106792934,0.0205177088,0.0060845827,0.0107458699,0.0159074159,0.0084387889,0.0144403358,0.0113772373,0.0086675498,0.0132669807,0.0209715928,0.0082903569,0.0065277991,0.011433059,0.008753183,0.0149606639,0.0138056579,0.0076439917,0.0113831828
3496.0171594856,0.0081730115,0.0056060748,0.006255186,0.0113198919,0.0067716962,0.0051503029,0.0078895619,0.0084017612,0.0069828061,0.0107989523,0.0061975409,0.0116101497,0.006128142,0.0059415425,0.0066449182,0.0065009428,0.0051612698,0.0048358641,0.0055917425,0.0073765329,0.0061505332,0.0059577409,0.0124518819,0.0042308383,0.005623688,0.0105154076,0.0061931714,0.0076200054,0.0092158537,0.0065511718,0.0093019256,0.0150423707,0.0054436486,0.0047812351,0.0067799308,0.0052154811,0.0084509469,0.0082151352,0.0031127594,0.0072675367
3562.6102147955,0.0018412827,0.0019576031,0.0019047361,0.0028928768,0.0015755574,0.0018592283,0.0019135789,0.0016331517,0.0017239376,0.0023245821,0.0013703645,0.0020053849,0.0015909566,0.001546022,0.0019461679,0.0015071612,0.001911186,0.0013777843,0.001373872,0.001195266,0.0016177439,0.0015064373,0.0065823567,0.0013715714,0.0019061737,0.0024778485,0.0015484113,0.0021853323,0.0021561645,0.0016445162,0.002690101,0.001234793,0.0011685352,0.0013663512,0.0020072895,0.0013942488,0.0016600335,0.0026161421,0.0031084798,0.0018512534
3642.6556352824,0.0532552513,0.0341579037,0.0585606255,0.0855774919,0.0377421234,0.0338046332,0.0623656835,0.0638581997,0.0532681512,0.0698967427,0.0371973803,0.0820590199,0.0386801539,0.037954359,0.0542445619,0.0135251678,0.0430944158,0.0145547824,0.0337776156,0.0251085062,0.0360588069,0.0407456147,0.0151070361,0.0278508072,0.0720347074,0.0465907296,0.0382257701,0.0573937514,0.0512047894,0.0465405666,0.0825418511,0.0150125132,0.0215228174,0.0314231078,0.0617466287,0.0386666195,0.059304294,0.0647744507,0.012743197,0.0528815973
3693.4264778937,0.01314082,0.0076970111,0.0096947767,0.0195382199,0.0084700756,0.0085704299,0.0116718614,0.0123505724,0.0100338023,0.0152429724,0.0084099811,0.0156324841,0.010451055,0.0117213189,0.0114915804,0.0074806285,0.016537648,0.00541629,0.0113571606,0.0104267818,0.0111949539,0.0104023946,0.0153981271,0.008525784,0.0114816739,0.0157846812,0.0091516368,0.0113522845,0.0125443216,0.0104339963,0.0160930879,0.0022578897,0.0093563566,0.0077320761,0.0125557425,0.0087433645,0.0114171496,0.0145185162,0.0052709693,0.0120942657
3822.2741405271,0.0068146138,0.0049457353,0.0107520235,0.005198867,0.0109987227,0.002894802,0.0057635185,0.0069428341,0.0096361801,0.0073172072,0.0073495016,0.0118596134,0.0044079704,0.0044303853,0.0035096988,0.0112046512,0.00872736,0.0099253026,0.0118357367,0.0084913999,0.002527208,0.0045775827,0.0050664059,0.0012066867,0.0048172571,0.0050435451,0.0022119391,0.004926465,0.010992994,0.0023183614,0.0076235529,0.0207648497,0.0030518143,0.0026054233,0.0052598759,0.003525014,0.008701106,0.0066506436,0.0048891814,0.0083280454
3877.3414141743,0.0038666897,0.0030928238,0.0081969974,0.002206995,0.0033402214,0.0051017979,0.005585967,0.0051160861,0.0072137049,0.0063119936,0.0057580361,0.0033896793,0.0035471073,0.0075646535,0.0067137444,0.0266181396,0.0077969923,0.0047755335,0.0069841127,0.0039594834,0.0034474139,0.0030423755,0.0059009584,0.0072213741,0.0060737891,0.0037938518,0.0118138362,0.0037867332,0.0069810121,0.0059800768,0.0079969727,0.0010736336,0.003435276,0.00361197,0.0060788219,0.003310676,0.0026848157,0.0030801424,0.0281096814,0.0025652313
4412.413773898,0.115219591,0.1011844606,0.0926321407,0.0948361855,0.0905152374,0.124299808,0.1001008803,0.0943090607,0.0954643164,0.0794083796,0.1112585863,0.0791282594,0.1089022151,0.1043488361,0.1104903085,0.0833060926,0.0866286875,0.1116869467,0.0920168446,0.1124382921,0.13965717,0.1173947394,0.09642366,0.1323822641,0.1127479601,0.1073799644,0.136896029,0.1022636771,0.0787890741,0.1146746256,0.0909862885,0.0939142597,0.1525746129,0.1130431927,0.1039011643,0.1031678123,0.0871936582,0.0989904182,0.1187919482,0.0888642665
4531.132963398,0.010952871,0.0065944128,0.0098320933,0.0145151212,0.0148577092,0.0108804399,0.010519521,0.0130391683,0.0125760337,0.0155715576,0.009932487,0.0173842118,0.0102687764,0.008894449,0.0114466362,0.0099028375,0.0109322331,0.0100756905,0.0101372987,0.0115530031,0.0082111383,0.0151700236,0.0148338478,0.0067085941,0.0109016069,0.011620997,0.0074280851,0.0143074696,0.0110385442,0.0088820977,0.0126291295,0.0115029113,0.0099276535,0.0064413533,0.0113708594,0.0091609713,0.0143607919,0.0128556034,0.0070239593,0.0115677635
4615.0718878377,0.0045246607,0.0030204389,0.0040466333,0.0061164306,0.0061617541,0.004234372,0.0040897418,0.0048660185,0.004715429,0.0070445172,0.0035322665,0.0070552112,0.0042156648,0.0033408225,0.0044993991,0.0040872543,0.0048686471,0.0046835746,0.004956085,0.0050160962,0.0039161054,0.0062479478,0.0062341069,0.0031082708,0.0041574915,0.0051023949,0.0030947462,0.006093902,0.0044162244,0.0036023368,0.0059222422,0.0030624,0.0038137409,0.0028508828,0.0036880868,0.0036246355,0.0065954085,0.006226808,0.003223182,0.0050927091
4765.2453658622,0.0087424576,0.0037824195,0.0044077753,0.0102864092,0.0076271118,0.0071386562,0.0069689435,0.0104953493,0.005831713,0.0222157756,0.0051761313,0.0124571071,0.0079058867,0.0083036563,0.008500742,0.0037701374,0.0068554595,0.0037330716,0.0076282173,0.0076281218,0.0087863238,0.0209992628,0.017071613,0.0056720277,0.0073325712,0.0126663529,0.0068609845,0.0107800803,0.008270335,0.0088987212,0.020337606,0.0371018226,0.0065835586,0.0045326104,0.0076818032,0.0077387238,0.0113991928,0.0164365624,0.0021016295,0.0097816882
4937.7304237436,0.002008677,0.0009666474,0.0019134309,0.0020540647,0.0011379133,0.0025684367,0.0019227847,0.0019799809,0.0016085371,0.0051545833,0.0043779974,0.001223085,0.0018618809,0.0017905558,0.0049273751,0.0009504577,0.0013220874,0.0020985123,0.0058873945,0.0016970086,0.0033112973,0.0021545248,0.0135671405,0.0153090769,0.0062777715,0.0037479666,0.0111158491,0.0011242292,0.0029402255,0.0076215968,0.0100989409,0.0020530548,0.003412299,0.0044019729,0.0019296839,0.0023731937,0.002253221,0.0023199353,0.0029586158,0.0014594854
5043.3611972508,0.0022489633,0.0011893566,0.0010541332,0.0026615196,0.0044327646,0.0013819377,0.0025542645,0.0083757683,0.0028700238,0.0032144615,0.0023202419,0.0041894216,0.0031245174,0.0021648647,0.002985266,0.0034827882,0.0031362953,0.0030389829,0.0036444998,0.0077634833,0.0026514966,0.0030181413,0.0024830384,0.0032055108,0.0025515973,0.0022097764,0.0031221942,0.0021432604,0.0013705407,0.0025617915,0.004665311,0.001526907,0.0032512965,0.0026267126,0.0019668819,0.0024230535,0.0028145992,0.0028662968,0.002902889,0.0024081179
