Mass,L1a1,L1a2,L1a3,L1a4,L1a5,L1b1,L1b2,L1b3,L1b4,L1b5
401.72,0.0002554681,0.0001373255,0.0004258982,0.0001398889,0.000111495,0.0006420167,0.0004020459,0.0003349412,0.0006881309,0.0006250042
403.14,0.0001225204,0.0001452481,9.2521e-05,8.53559e-05,0.0002511842,0.0003453271,0.0003231006,0.0001579736,0.0001631868,0.0004653262
404.55,0.0002176693,0.0001522905,7.44191e-05,6.75734e-05,4.22912e-05,0.0004342645,0.0002180145,0.0001751145,0.0004351649,0.0004216092
405.97,0.0001811738,0.0001892627,0.0001196739,0.000187704,0.0001273008,0.0002591691,0.0001108371,0.0001380532,0.0001705804,0.0002256239
407.39,0.0001655329,0.0002095094,8.90012e-05,7.15251e-05,0.0001311455,0.0002661173,0.0002321305,0.0001510247,0.0001579057,0.0001278165
408.81,0.0001577125,0.0001505299,6.43624e-05,0.0002276158,7.73203e-05,0.0004690057,0.0002828437,0.0005448006,0.0003490825,0.0011492371
410.23,0.0002280965,0.0005651473,6.08426e-05,6.91541e-05,0.0001841163,0.0006190875,0.0004658295,0.0007027742,0.0014412197,0.0033495333
411.65,0.0007051442,0.0004093357,0.0007557557,0.0007500257,0.0002037667,0.0027174536,0.0021142699,0.0024543822,0.0042486672,0.0031913372
413.08,0.0002398272,0.000304581,9.75493e-05,0.0002726648,7.47572e-05,0.0004148095,0.0001171109,0.0004901352,0.0005228316,0.0016742109
414.53,0.0003089079,0.0001919036,0.0002519186,5.57185e-05,0.000137126,0.0015084612,0.0004752402,0.0015514772,0.0015542359,0.0010417971
415.97,0.000242434,0.0003503561,7.49219e-05,0.0001236871,6.10873e-05,0.0002918258,0.0009536173,0.0001741879,0.0032568714,0.0008917516
417.43,0.0001837806,0.0012825851,0.0004424917,6.52024e-05,0.0001935143,0.0054481089,0.005931876,0.0063101435,0.0061673008,0.0076545413
418.88,0.0042712707,0.0058275315,0.0017387911,0.0015083499,0.0001264464,0.0245168373,0.0384040085,0.0316401277,0.0295273127,0.0330137056
420.33,0.0003336727,0.0006778247,0.0004349492,0.0003544642,8.33009e-05,0.005427959,0.007048612,0.0057352306,0.0052811276,0.006435283
421.8,0.0002111522,0.0004304627,7.59275e-05,0.0002714793,7.73203e-05,0.0001153407,0.0014905498,0.0023274474,0.0024293187,0.0025689264
423.25,8.99352e-05,0.0002103897,7.64304e-05,7.50816e-05,0.0001187571,0.0002341554,0.0006754789,0.0004090637,0.0003739038,0.0004245731
424.78,0.0002919636,0.0001153182,0.0001417985,9.08883e-05,0.0001384076,0.0001354905,0.0002028528,0.0002742534,0.0006722875,0.0006598295
426.22,0.003787706,0.0042914223,0.0024663882,0.0024587249,0.0026258996,0.0183530605,0.0173643043,0.027060282,0.024527141,0.0294785605
427.66,0.004587999,0.0039516297,0.0026212603,0.0021184867,0.0028074528,0.0136435487,0.0099742931,0.0134662103,0.0161871843,0.017216327
429.19,0.0010322998,0.0011567034,0.0004183558,0.0007057671,0.0008915329,0.0027959686,0.0034767297,0.0041962616,0.0040305566,0.0055220433
430.63,0.0022522904,0.0021831236,0.0008940343,0.0007709695,0.0013951827,0.0060769239,0.004322124,0.0062967088,0.0082908423,0.0087137511
432.07,0.0001511954,0.0001214803,0.0002358279,0.000185333,0.000106796,0.0020844697,0.0001662556,0.0003664432,0.0017686496,0.0021914047
433.51,0.0001590159,0.0003996525,7.34134e-05,0.0001410744,9.73979e-05,0.0004036923,0.0002948685,0.0013138218,0.0006633096,0.0016797682
434.95,0.0003023908,0.0002350379,0.0001956014,0.0001635989,0.0001426794,0.0003272617,0.0002201057,0.0001227654,0.0001927612,0.0012196288
436.39,0.0002280965,0.0003019401,0.000268512,0.0001193402,0.0001063688,0.0005628068,0.0029330005,0.0026915743,0.0007240426,0.0004397629
437.83,0.000299784,0.0003776452,8.9504e-05,0.000185333,0.000155495,0.0004731746,0.0004966757,0.0005271965,0.0004393898,0.0001185544
439.27,0.0002502545,0.0001734175,0.000175991,0.000591564,0.0001388348,0.0001243734,0.0002896403,0.000219588,0.0001753334,0.0004001212
440.75,0.0018312894,0.0014102274,0.000253427,0.0025918959,0.0012106393,0.001136036,0.0002974826,0.0004887454,0.0005392031,0.00060648
442.22,0.0001929045,0.0001126773,9.40295e-05,6.63879e-05,6.23689e-05,0.0001959401,0.0004809912,0.0019211633,0.0001705804,0.0004312418
443.7,0.0008237544,0.0014577632,0.0003866774,0.0011368935,0.0003229511,0.0070635729,0.0078960975,0.0060993575,0.0095577848,0.0122970589
445.17,0.0001863875,0.0002429605,0.0001327475,0.0001272436,7.04853e-05,0.0003765942,0.0008872196,0.0007458579,0.0003369359,0.000809134
446.64,0.0002307034,0.0003001795,0.0001397871,0.0001066949,0.0001405435,0.0003717304,0.0003659715,0.0016770222,0.0005724742,0.0002756391
448.11,0.0001863875,0.0001566919,4.92775e-05,0.0001667602,0.0001460969,0.000346022,0.0001322726,0.0003738555,0.0002894058,0.0001463406
449.59,0.0001160034,0.0001769386,0.0001860476,0.0001932363,0.0001751454,0.0010554365,0.0015914534,0.0024849578,0.001409533,0.0021973324
451.05,0.0005148465,0.0008186713,0.0001211824,0.0001766393,0.0003404656,0.0033747564,0.0043414682,0.0038126775,0.0043564022,0.0036829677
452.52,0.0002098488,0.0003265882,0.0001156512,0.0001620182,0.0002046211,0.0027132847,0.0007031882,0.0016617344,0.000177974,0.0007435586
