Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
12980.3841200289,0.0000850780,0.0001000093,0.0000618528,0.0000722380,0.0000587123,0.0000654391,0.0000699575,0.0000532280,0.0000676359,0.0000508090,0.0000619913,0.0000607712,0.0000702941,0.0000730071,0.0000728504,0.0000493386,0.0000733373,0.0000691802,0.0000656623,0.0000419625,0.0000582360,0.0000677630,0.0000646528,0.0000707052,0.0000764658,0.0000575672,0.0000855694,0.0001067508,0.0000710005,0.0001067625,0.0000834039,0.0000634653,0.0000778637,0.0000632233,0.0000746734,0.0000838886,0.0000593943,0.0000687045,0.0000821386,0.0000843637,0.0000731859,0.0000845942,0.0000342489,0.0000263031,0.0000588717,0.0000698640,0.0000503984,0.0000671534,0.0000589352,0.0000745919,0.0000524060,0.0000467476,0.0000395244,0.0000679468,0.0000916126,0.0000986737,0.0000811316,0.0000753168,0.0000653031,0.0001860537,0.0000749812
12986.4644728333,0.0000850325,0.0000946371,0.0000610038,0.0000712815,0.0000513268,0.0000616609,0.0000688815,0.0000552721,0.0000645926,0.0000496863,0.0000638633,0.0000589289,0.0000699046,0.0000719519,0.0000763463,0.0000498037,0.0000730994,0.0000611822,0.0000638929,0.0000411453,0.0000578324,0.0000655282,0.0000621344,0.0000695394,0.0000770528,0.0000561007,0.0000808203,0.0001082184,0.0000703219,0.0001069836,0.0000828568,0.0000615273,0.0000700970,0.0000633873,0.0000736026,0.0000826284,0.0000598537,0.0000718915,0.0000785481,0.0000836419,0.0000658572,0.0000870165,0.0000438531,0.0000272854,0.0000543782,0.0000745876,0.0000494065,0.0000654761,0.0000557387,0.0000743591,0.0000525012,0.0000471246,0.0000463012,0.0000580632,0.0000932755,0.0000992993,0.0000732033,0.0774000000,0.0000652692,0.0001365532,0.0000725988
12991.7992456433,0.0000795274,0.0000902690,0.0000589290,0.0000707142,0.0000519110,0.0000601248,0.0000634297,0.0000546550,0.0000611837,0.0000426863,0.0000607085,0.0000643508,0.0000671410,0.0000729099,0.0000713874,0.0000497909,0.0000713695,0.0000710434,0.0000639002,0.0000381648,0.0000581713,0.0000687289,0.0000628551,0.0000666415,0.0000778779,0.0000557204,0.0000837531,0.0001058213,0.0000674965,0.0001029688,0.0000806066,0.0000577987,0.0000700034,0.0000625308,0.0000779834,0.0000817105,0.0000595629,0.0000729617,0.0000797102,0.0000803727,0.0000696988,0.0889000000,0.0000441265,0.0000251496,0.0000469159,0.0000692855,0.0000413326,0.0000632167,0.0000525788,0.0000732438,0.0000534419,0.0000395699,0.0000464862,0.0000562592,0.0000930497,0.0000874827,0.0000754141,0.0000791009,0.0000640385,0.0001419271,0.0000664033
12997.1916512550,0.0000819436,0.0000887470,0.0000613338,0.0000691901,0.0000511515,0.0000593375,0.0000634009,0.0000466039,0.0000616792,0.0000402295,0.0000614896,0.0000629851,0.0000659886,0.0000734105,0.0000710899,0.0000610376,0.0000683833,0.0000722636,0.0000640303,0.0000365060,0.0000549624,0.0000642417,0.0000618005,0.0000666789,0.0000724875,0.0000538409,0.0000826607,0.0001074189,0.0000637233,0.0001001287,0.0000822767,0.0000571441,0.0000572995,0.0000595053,0.0000706078,0.0000820835,0.0000561877,0.0000705559,0.0000797622,0.0000773018,0.0000711809,0.0844000000,0.0000447155,0.0000255637,0.0000525841,0.0000731732,0.0000426701,0.0000600294,0.0000501402,0.0000743271,0.0000513383,0.0000352776,0.0000448505,0.0000708088,0.0000927025,0.0000819363,0.0000783273,0.0000747268,0.0000610076,0.0001586548,0.0000690381
13003.2727338521,0.0000767369,0.0000931227,0.0000628141,0.0000662057,0.0000533401,0.0000653220,0.0000629769,0.0000440919,0.0000626431,0.0000389681,0.0000611543,0.0000546569,0.0000689165,0.0000717869,0.0000701402,0.0000587171,0.0000664814,0.0000567363,0.0000539922,0.0000391589,0.0000540122,0.0000636245,0.0000609821,0.0000656897,0.0000717754,0.0000534987,0.0000803722,0.0001054357,0.0000642625,0.0000981455,0.0000838908,0.0000583635,0.0000679683,0.0000538721,0.0000703836,0.0000837002,0.0000562829,0.0000671165,0.0000776090,0.0000745320,0.0000698007,0.0000744465,0.0000393101,0.0000256763,0.0000511039,0.0000806641,0.0000445325,0.0000654337,0.0000485985,0.0000661293,0.0000516988,0.0000278658,0.0000430259,0.0000673750,0.0000867427,0.0000723769,0.0000721308,0.0000680060,0.0000595368,0.0001690461,0.0000700660
13008.6109733363,0.0000760429,0.0000917842,0.0000601576,0.0000643834,0.0000519223,0.0000657376,0.0000624328,0.0000441926,0.0000592352,0.0000419905,0.0000538339,0.0000524091,0.0000691229,0.0000712613,0.0000697651,0.0000492276,0.0000642523,0.0000618998,0.0000488015,0.0000370724,0.0000514543,0.0000628518,0.0000594786,0.0000643375,0.0000716821,0.0000540288,0.0000758078,0.0001062865,0.0000647048,0.0001001551,0.0000846903,0.0000580422,0.0000814464,0.0000558615,0.0000718339,0.0000867830,0.0000548583,0.0000660483,0.0000735202,0.0000738543,0.0000651361,0.0000698244,0.0000265025,0.0000257288,0.0000413944,0.0000839282,0.0000385136,0.0000664161,0.0000478535,0.0000654407,0.0000513415,0.0000324210,0.0000393832,0.0000560388,0.0000842352,0.0000856469,0.0000737834,0.0000668189,0.0000520686,0.0001845585,0.0000662745
13014.0101103624,0.0000757201,0.0000856794,0.0000537054,0.0000659356,0.0000518153,0.0000595044,0.0000625901,0.0000487975,0.0000556354,0.0000437824,0.0000569407,0.0000533682,0.0000657326,0.0000780395,0.0000687406,0.0000480463,0.0000652116,0.0000621815,0.0000522597,0.0000326002,0.0000544487,0.0000643096,0.0000575028,0.0000638198,0.0000727411,0.0000518241,0.0000758017,0.0001066607,0.0000641910,0.0001007008,0.0000831851,0.0000548411,0.0000758543,0.0000580819,0.0000709055,0.0000821812,0.0000546127,0.0000664802,0.0000775188,0.0000715708,0.0000655125,0.0000865335,0.0000241547,0.0000266904,0.0000428633,0.0000818363,0.0000367331,0.0000620111,0.0000462287,0.0000629508,0.0000501496,0.0000321685,0.0000399920,0.0000607178,0.0000909875,0.0001004597,0.0000735215,0.0000733623,0.0000592572,0.0001760774,0.0000659010
13020.0919149276,0.0000772824,0.0000867543,0.0000562274,0.0000645289,0.0000501054,0.0000657783,0.0000637317,0.0000504717,0.0000583741,0.0000432225,0.0000544410,0.0000532693,0.0000637628,0.0000796135,0.0000678134,0.0000530179,0.0000671039,0.0000710952,0.0000538014,0.0000327035,0.0000561559,0.0000673815,0.0000588387,0.0000642027,0.0000694371,0.0000484693,0.0000792483,0.0001023517,0.0000590966,0.0001018553,0.0000792835,0.0000547243,0.0000678060,0.0000584061,0.0000637432,0.0000822235,0.0000512505,0.0000669615,0.0000757033,0.0000737414,0.0000703596,0.0000882537,0.0000292240,0.0000247459,0.0000453434,0.0000843332,0.0000364105,0.0000549107,0.0000475358,0.0000661362,0.0000511342,0.0000289927,0.0000426667,0.0000596970,0.0000907278,0.0000960840,0.0000640826,0.0000710768,0.0000598508,0.0001561334,0.0000695442
13025.4336211167,0.0000782785,0.0000868795,0.0000561089,0.0000657938,0.0000494147,0.0000633673,0.0000614823,0.0000485333,0.0000602719,0.0000416299,0.0000505866,0.0000557425,0.0000647505,0.0000722785,0.0000640590,0.0000479864,0.0000674687,0.0000733509,0.0000551701,0.0000378783,0.0000549586,0.0000662825,0.0000573845,0.0000649305,0.0000689659,0.0000483742,0.0000788361,0.0001016760,0.0000634069,0.0001022111,0.0000851635,0.0000545927,0.0000749023,0.0000558655,0.0000690386,0.0000879656,0.0000543058,0.0000646465,0.0000705824,0.0000777010,0.0000743494,0.0000821530,0.0000354019,0.0000240178,0.0000458626,0.0000814518,0.0369000000,0.0000546676,0.0000444133,0.0000605890,0.0000489997,0.0000296892,0.0000422222,0.0000599969,0.0000894771,0.0000860320,0.0000710725,0.0000660983,0.0000602689,0.0001488664,0.0000650680
13030.8394974552,0.0000796324,0.0000870438,0.0000556056,0.0000668191,0.0000475593,0.0000654016,0.0000625487,0.0000497518,0.0000575585,0.0000397238,0.0000511883,0.0000548019,0.0000613477,0.0000754178,0.0000683033,0.0000454254,0.0000663045,0.0000702404,0.0000565776,0.0000380820,0.0000549256,0.0000639616,0.0000594808,0.0000643049,0.0000676501,0.0000506604,0.0000806361,0.0001026328,0.0000623435,0.0000994834,0.0000843222,0.0000526251,0.0000739666,0.0000552872,0.0000720384,0.0000833717,0.0000556441,0.0000624076,0.0000706444,0.0000787990,0.0000700439,0.0000780673,0.0000369847,0.0000261519,0.0000415987,0.0000785256,0.0000369089,0.0000519986,0.0471000000,0.0000579704,0.0000487326,0.0000300411,0.0000424903,0.0000559819,0.0000922096,0.0000865198,0.0000747694,0.0000675602,0.0000592084,0.0001339113,0.0000674570
13036.9220161565,0.0000786744,0.0000901492,0.0000539244,0.0000666679,0.0000493447,0.0000642795,0.0000615163,0.0000474429,0.0000559805,0.0000345147,0.0000519952,0.0000528469,0.0000628968,0.0000741425,0.0000711834,0.0000482072,0.0000642453,0.0000630780,0.0000536916,0.0000298863,0.0000554621,0.0000635290,0.0000582726,0.0000632915,0.0000686041,0.0000505937,0.0000809918,0.0001023182,0.0000618981,0.0000959968,0.0000803049,0.0000535709,0.0000648998,0.0000556832,0.0000737628,0.0000817921,0.0000600930,0.0000643468,0.0000694320,0.0000696883,0.0000654301,0.0000780045,0.0000333340,0.0000258245,0.0000457740,0.0000809997,0.0000388214,0.0000586339,0.0000496802,0.0000631783,0.0000479332,0.0000284820,0.0000425493,0.0000511696,0.0000862025,0.0000854149,0.0000730895,0.0000673394,0.0000625082,0.0001670856,0.0000658580
13042.2671890812,0.0000778320,0.0000896628,0.0000513352,0.0000666706,0.0000465771,0.0000554258,0.0000595843,0.0000402985,0.0000578382,0.0000346364,0.0000527754,0.0000547294,0.0000644309,0.0000734833,0.0000731717,0.0000545443,0.0000640154,0.0000656046,0.0000550107,0.0000300765,0.0000526374,0.0000643749,0.0000595895,0.0000642549,0.0000694157,0.0000487656,0.0000801314,0.0001006579,0.0000594626,0.0000987582,0.0000797503,0.0000529730,0.0000802259,0.0000556553,0.0000728314,0.0000878079,0.0000611323,0.0000632557,0.0000772798,0.0000691655,0.0000694698,0.0000788440,0.0000232822,0.0000221881,0.0000496705,0.0000739943,0.0000386814,0.0000610695,0.0000488166,0.0000612710,0.0000480835,0.0000280862,0.0000375856,0.0000509026,0.0000866085,0.0000847589,0.0000728528,0.0000662887,0.0000625625,0.0001666587,0.0000625530
13047.6798126375,0.0000746877,0.0000964812,0.0000518950,0.0000689573,0.0000496370,0.0000561288,0.0000633878,0.0000412157,0.0000577770,0.0000386005,0.0000548560,0.0000537437,0.0000659820,0.0000755748,0.0000709325,0.0000568443,0.0000668713,0.0000633460,0.0000537769,0.0000317625,0.0000522805,0.0000619186,0.0000576262,0.0000641611,0.0000679077,0.0000457098,0.0000777910,0.0000966543,0.0000594645,0.0000978796,0.0000716829,0.0000504365,0.0000774221,0.0000571159,0.0000697494,0.0000877995,0.0000545002,0.0000615315,0.0000765044,0.0000695305,0.0000695154,0.0000789789,0.0000242473,0.0000246637,0.0000495384,0.0000738103,0.0000400678,0.0000600970,0.0000486581,0.0000633665,0.0000485443,0.0000262570,0.0000405635,0.0000574503,0.0000894184,0.0000924907,0.0000710450,0.0000665393,0.0000616669,0.0001550899,0.0000676491
