"Mass","L1a_1","L1a_2","L1a_3","L1a_4","L1a_5","L1a_6","L1a_7","L1a_8","L1b_1","L1b_2","L1b_3","L1b_4","L1b_5","L1b_6","L1b_7","L1b_8","L21a_1","L21a_2","L21a_3","L21a_4","L21a_5","L21a_6","L21b_1","L21b_2","L21b_3","L21b_4","L21b_5","L21b_6","L21b_7","L21b_8"
738.02,0.86,1.95,0,0.91,0,0.8,6.99,5.62,0,0,4.36,0,1.28,2.83,4.89,0,4.96,7.52,9.53,9.21,11.36,2.21,0,6.02,9.53,6.36,14.05,5.02,4.47,5.71
738.67,52.2,105.42,65.48,40.46,85.8,45.16,17.81,15.2,56.49,71.91,77.56,52.51,51.2,81.18,66.02,85.33,146.85,153.43,145.06,143.43,111.61,27.87,119.3,116.78,115.72,141.97,121.26,107.78,131.7,123.52
739.28,39.33,53.22,21.52,21.62,6.96,36.87,15.1,5.98,26.13,24.59,39.81,18.33,27.34,22.31,40.43,11.93,28.85,38.68,30.77,32.71,46.1,9.39,33.93,25.75,40,40.74,27.33,26.23,24.76,17.47
739.88,8.36,0.93,2.71,3,0.89,0.84,0,2.66,0,0,0,0.39,0.8,0,0,0,0,0,0,0,3.04,1.58,0,0.66,0,0,0,0,0,0
740.47,44.7,66.11,61.38,37.24,53.86,50.63,47.53,46.52,41.24,41.53,52.07,21.09,51.78,60.92,73.79,51.69,54.73,58.8,59.13,65.42,71.88,41.13,42.41,59.24,54.3,35.5,85.36,35,32.61,70.61
741.09,24.02,14.82,23.67,4.45,10.68,9.39,8.36,2.54,11.19,13.94,16.6,21.43,19.12,10.67,4.28,14.81,7.49,8.25,19.2,26.9,9.93,10.56,4.69,8.92,19.67,11.03,14.69,5.77,16.87,6.56
742.49,638.29,718.6,761.28,512.85,815.75,646.1,480.04,376.58,910.77,1041.95,977.74,983.78,1232.96,1058.71,1013.41,1187.28,922.14,634.29,873.2,847.58,599.08,199.15,911.11,872.38,1120.52,926.97,913.86,806.7,978.6,863.51
743.07,0,6.52,0,0,0,4.49,2.95,5.79,5.84,5.59,12,8.01,0,19.76,3.46,10.86,3.68,7.2,0,9.47,11.43,6.94,1.47,1.47,9.74,9.11,6.77,1.15,11.36,0
743.73,310.39,290.22,373.04,266.3,457.5,287.2,226,170.51,416.85,477.78,491.8,464.57,563.35,532.63,478.25,578.33,414.2,335.65,380.05,362.76,367.69,123.61,477.93,421.54,495.72,446.4,435.3,321.1,356.07,439.03
744.49,281.69,300.01,283.02,204.04,399.31,270.46,206.11,165.18,344.93,422.01,441.82,427.16,477.13,385.47,390.69,572.4,253.97,193.54,195.12,189.73,215.94,79.26,260.26,208.49,281.04,301.75,236.16,197.83,248.09,261.57
745.07,9.54,4.66,6.82,4.51,7.04,13.87,9.46,12.14,10.62,8.01,4.52,7.47,2.72,9.9,5.11,19.8,10.29,10.83,3.14,9.29,19.51,20.41,8.71,11.18,0.81,7.55,16.34,15.47,15.26,30.2
745.73,157.81,107.58,147.52,84.65,122.09,107.72,41.45,82.71,148.42,164.05,221.58,124.73,253.49,204.78,173.03,289.13,113.49,31.1,135.6,86.05,60.48,9.02,160.32,158.93,135.84,109.15,110.77,135.28,119.87,113.29
746.34,11.97,45.19,48.89,34.56,44.76,70.52,50.86,15.89,46.07,76.06,16.91,70.98,90.97,60.29,77.78,90.83,37.16,36.57,50.71,31.31,46.94,13.15,43.84,49.41,54.04,46.27,14.61,21.35,41.99,9.99
746.92,5.94,2.42,0,0,0.71,0,2.63,4.92,0,0,0,5.89,0,0,0,0.89,6.34,0,0,0,0,4.41,1.35,1.02,0,8.09,0,0,0,0
747.5,11.02,37.08,20.82,10.87,7.43,27.59,29.36,8.65,26.91,23.53,12.22,19.91,27.99,13.21,28.35,58.24,13.12,4.84,5,21.52,14.69,7.03,5.17,8.77,11.77,15.61,6.59,11.96,16.65,10.54
748.1,1.25,0.44,3.05,6.09,0,2.91,27.87,6.67,0,0.31,10.75,10.3,4.58,0.4,5.38,0,3.57,7.93,8.88,10.57,17.06,28.22,0.57,17.09,0,3.22,2.69,13.5,15.46,6.21
748.76,3.58,15.64,2.33,0.28,18.46,5.08,7.85,13.81,14.77,10.11,1.57,0,4.1,2.81,0,6.77,11.86,8.37,9.73,9.46,17.3,3.83,13.99,12.14,9.98,0.49,6.61,5.31,0,2.35
749.35,20.73,16.37,43.96,15.31,23.78,17.6,8.76,0,9.45,29.3,17.81,22.48,18.91,20.15,26.99,29.52,12.25,12.92,15.43,15.42,26.97,3.19,18.29,14.01,40.2,43.08,13.26,26.48,42.04,20.15
750.02,17.69,23.65,5.93,13.45,2.11,20.12,8.63,4.96,5.43,0,0,1.85,1.41,5.25,3.87,2.55,17.77,11.09,8.48,13.98,0,66.23,8.28,0,5.03,11.47,0,3.66,0,4.98
750.62,9.95,39.96,28.44,5.85,33.73,25.88,15.72,6.19,16.19,37.38,43.77,33.11,22.67,48.85,54.3,19.96,17.75,20.25,43.01,5.67,86.05,0.94,41.5,58.05,67.02,51.41,32.85,16.7,64.91,44.71
751.2,12.47,32.47,20.5,1.56,0,14.65,6.07,7.03,1.28,3.96,24.4,1.39,2.34,5.53,0,27.56,8.12,29.38,15.02,13.58,28.55,31.17,3.36,4.19,2.63,0.43,13.32,17.32,28.41,4.38
751.8,5.73,5.31,0,5.5,29.38,0.34,5.51,18.21,13.91,23.74,5.1,17.76,7.49,5.09,33.44,0,0,0,0,0,0,3.5,6.45,12.58,28.24,10.12,0,0,0,15.78
752.38,17.79,5.65,3.03,18.71,10.5,10.06,18.7,3.81,28,13.62,44.92,8.68,35.13,26.71,4.8,5.68,34.28,31.38,13.59,55.08,46.89,11.51,49.43,46.21,58.98,19.11,47.53,26.42,24.15,30.76
752.97,0,0.79,1.79,4,2.16,2.6,6.83,18.42,0,2.13,2.82,4.12,2.45,3.82,3.13,0.12,4.03,3.09,4.28,1.98,5.63,24.11,3.55,0,14.33,0,8.82,4.86,10.04,3.33
753.55,51.35,61.17,79.3,25.87,47.85,52.53,45.17,9.38,43.08,43.24,56.68,13.1,32.35,49.4,52.05,82.83,52.49,20.76,59.4,65.04,34.13,8.75,44.4,64.14,59.04,19.13,15.15,33.35,15.3,23.1
754.15,7.97,27.23,0,0,0,0,7.9,4.19,0,0,45.13,8.81,0,0,0,6.17,13.95,19.02,26.49,9.21,4.43,36.5,28.62,29.48,1.08,6.47,19.08,10.19,1.46,1.64
754.73,39.01,0.93,35.08,22.49,39.14,28.67,20.48,10.12,28.68,26.58,0,0.12,26.38,33.12,32.83,3.68,0,7.84,0,0,21.08,8.61,1.94,0,55.73,0.94,0,5.05,35.85,12.97
755.32,50.95,22.46,40.18,5.63,39.4,38.92,37.03,4.53,39.17,71.85,74.61,44.43,55.86,62.21,45.46,88.69,32.56,13.38,28.39,36.49,22.73,4.13,35.57,61.44,45.1,51.62,13.88,23.29,34.86,22.75
755.92,0,2.06,0.56,0,0,3.31,0,0,1.48,3.29,1.97,0,0,0.8,0,2,0,0,10.49,0,0,9.86,0,6.51,10.47,0,7.24,3.48,2.09,3.84
756.5,15.96,14.1,31.35,6.52,38.12,38.55,32.34,25.34,28.11,31.05,45.15,27.94,48.41,26.62,63.67,14.73,8.1,17.62,21.22,60.09,28.64,15.02,11.08,48.82,5.76,55.21,23.23,31.96,20.53,50.25
757.1,0,2.38,0,0,2,0,0,26.5,0,1.09,0,0,0,2.04,3.4,0,0,2.85,0,2.73,1.68,3.53,3.68,4.6,4.43,1.92,9.21,1.36,1.14,1.34
