"Mass","L1a_1","L1a_2","L1a_3","L1a_4","L1a_5","L1a_6","L1a_7","L1a_8","L1b_1","L1b_2","L1b_3","L1b_4","L1b_5","L1b_6","L1b_7","L1b_8","L21a_1","L21a_2","L21a_3","L21a_4","L21a_5","L21a_6","L21b_1","L21b_2","L21b_3","L21b_4","L21b_5","L21b_6","L21b_7","L21b_8"
792.76,116.22,122.68,111.74,139.86,117.28,118.31,70.82,82.68,138.21,139.02,163.03,149.18,186.03,157.72,167.04,162.35,99.92,83.09,87.23,124.34,131.61,7.9,114.18,129.99,138.57,127.97,142.75,120.7,124.48,111.56
793.42,16.01,62.07,69.39,50.05,78.26,53.07,32.3,38.84,109.4,38.61,83.49,93.29,69.83,75.87,83.4,103.67,40.42,39.26,37.11,70.83,40.42,10.99,78.99,30.47,69.19,43.05,58.04,65.44,61.97,33.77
794.34,134.27,148.25,155.45,112.71,159.58,147.71,91.63,100.23,188.47,196.31,187.92,165.71,204.32,204.21,212.19,230.59,198.35,127.25,196.19,187.14,172.29,69.32,240.16,213.74,248.63,208.42,207.24,184.13,269.97,199.04
794.95,0,0,0,0,1.22,0,5.13,2.79,0,6.36,0,0,0,0,1.88,2.64,0,0.12,0,0,1.55,0,2.89,0,0,3.3,0,7.98,0,0
795.54,24.1,89.67,91.15,76.19,88.19,86.67,32.65,12.18,127.08,140.43,148.65,127.21,143.83,131.32,148.69,183.81,128.31,89.93,142.98,129.15,130.6,38.12,165.03,147.37,233.12,170.1,159.73,145.12,197.84,173.32
796.16,5.95,6.4,12,0,3.45,54.78,0,1.53,0,0,0,0,0,0,0,5.31,0,1.72,0,0,0,2.84,0,2.37,8.3,0,0,3.39,4.19,0
796.82,37.26,32.69,80.1,61.29,61.39,1.77,46.64,36.85,97.44,93.66,107.3,96.19,108.92,79.21,92.3,110.65,83.71,66.85,70.74,67.27,77.09,8.89,85.34,44.95,65.15,105.9,79.92,53.52,42.32,100.28
797.64,122.28,125.96,111.16,78.29,168.83,120.06,108.73,37.18,112.78,130.75,156.38,169.49,157.84,150.38,157.68,174.71,133.05,80.55,131.94,193.84,168.42,39.28,162.47,103.01,180.39,172.32,177.64,140.97,149.14,182.06
798.23,9.56,0,1.42,1.65,15.39,7.89,4.56,5.05,0,0,2.91,5.68,8.84,5.06,0,2.47,8.63,3.8,5.39,7.17,14.64,52.79,9.92,2.96,18.2,4.43,9.85,16.08,7.2,6.28
798.91,15.18,91.24,55.11,38.89,33.32,37.39,46.36,24.55,90.49,81.7,102.75,89.87,61.62,65.63,103.79,90.65,40.59,30.48,96.1,104.79,66.84,29.86,48.99,45.14,132.04,75,73.95,63.64,83.75,94.2
799.51,12.72,56.94,10.38,10.29,23.19,17.05,6.09,11.8,30.39,44.18,29.68,34.58,36.13,16.09,41.66,46.21,18.75,26.68,41.46,16.18,22.24,6.45,24.47,30.49,31.99,19.7,29.79,11.58,62.59,26.77
800.45,129.6,167.94,139.77,128.08,200.64,141.94,152.23,85.02,220.82,246.25,264.95,252.57,295.64,242.94,268.26,285.48,218.83,145.13,131.06,177.39,149.85,72.18,180.96,227.68,225.53,184.45,192.04,153.47,187.21,161.78
801.05,7.19,0,2.75,0,3.54,0.89,0,0,1.86,0,0,0.09,0,0,0,0,0,0,0,1.96,0,0,2,0,0,0,0,1.79,0,0
801.67,81.49,59.89,47.8,42.13,72.49,37.6,35.12,37.3,106.95,95.22,128.87,80.24,103.27,88.86,93.63,81.88,84.51,41.36,59.77,47.06,32.38,22.99,95.25,90.09,70.9,72.6,58.18,33.45,56.54,69.57
802.47,97.46,81.91,116.53,78.72,120.63,89.8,113.84,33,175.63,177.06,190.08,134.68,195.82,173.43,158.24,209.04,81.55,88.46,99.52,75.61,73.74,35.45,115.86,87.81,117.87,100.78,113.25,70.87,101.86,92.1
803.11,6.44,0,0,2.35,0,0,0,2.68,0,0,0,0,0,0,1.37,0,3.64,0.11,0,2.39,0,2.93,0,1.57,0,2.89,1.12,0,4.81,9.28
803.7,34.08,57.75,33.22,13.83,43.65,40.18,44.23,21.3,43.21,67.43,84.35,91.21,99.54,78.06,66.1,54.56,30.8,31.99,56.26,25.46,25.95,9.36,57.84,58.88,43.16,47.23,45.39,33.49,34.19,34.92
804.29,10.14,29.89,29.33,34.94,37.85,29.12,18.96,15.33,25.58,36.42,57.03,30.55,2.96,59.93,44.77,64.15,11.98,16.96,3.09,12.91,22.83,6.2,31.35,31.05,37.8,38.47,31.35,21.84,10.33,17.13
804.88,1.92,0,0,1.49,0,0,3.28,0,3.38,0,0,7.52,19.8,0,0,0,0,7.25,3.37,1.38,2.22,0,0,0,2.18,0,0,0,0,0
805.48,10.24,26.54,2.82,13.41,14.79,8.11,15.71,3.65,8.63,24.39,15.78,15.97,30.32,19.71,36.07,29.19,6.7,2.62,4.71,3.53,4.73,2.37,19.1,19.06,11.37,13.08,11.6,10.28,16.81,7.01
806.07,19.26,2.59,6.97,14,0,5.8,8.44,16.87,0,0.89,0,5.84,1.59,0,0,4.55,1.13,3.15,6.77,0,3.27,3.75,1.96,4.51,0.89,0,0,0,2.43,3.49
806.68,4.21,21.54,12.96,10.24,15.56,10.91,5.73,7.01,14.57,6.32,8.81,17.9,17.73,5.83,17.85,0.9,5.41,3.16,0,18.42,24.11,3.95,3.31,3.04,7.17,17.92,0,9.45,9.75,5.92
807.28,7.02,27.73,25.29,22.43,20.75,16.57,13.89,0,15.09,30.3,0,66.86,51.6,27.77,27.89,0,0,20.83,50.99,0,1.23,15.22,24.81,0,41.33,14.77,35.62,16.92,33.08,25.91
807.87,24.66,43.08,5.89,21.73,28.93,15.38,8.59,14.43,11.55,10.07,48.3,16.32,6.05,24.04,7.85,19.42,47.95,5.42,4.87,27.97,22.32,6.62,11.39,28.78,14.51,12.67,5.98,13.4,1.04,5.31
808.46,27.59,18.78,21.23,21.11,45.46,29.73,21.84,44.71,28.38,50.91,9.58,64.55,17.9,13.16,25.65,56.55,39.17,20.47,13.52,16.96,17.89,11.44,16.99,22.59,18.12,57.99,48.09,37.4,24.55,3.02
809.05,1.35,0,0,5.12,7,6.67,1.28,3.76,6.79,0,3.91,0,3.23,0,3.61,0,3.04,3.08,1.82,3.35,6.8,15.12,6.45,0,11.3,0,0,0,0,6.57
809.64,37.09,30.91,9.22,3.24,19.46,4.04,29.02,4.38,18.68,21.13,37.07,16.28,26.68,8.82,31.06,32.99,35.25,7.57,24.97,32,26.59,0,49.43,11.06,22.71,7.67,43.1,7.76,42.28,10.7
810.23,16.23,27.39,34.73,11.82,20,4.9,14.6,4.13,28.67,13.95,23.58,1.33,2.81,0,3.74,22.33,21.95,37.25,5.61,45.1,18.48,7.74,61.39,11.91,43.34,15.21,16.02,20.05,0,9.47
810.85,0,0,0,0,0,8.59,0,15.42,0,0.1,3.28,16.68,15.92,43.07,12.21,3.41,14.44,0,8.27,0,17.68,0,0,0,0,0,3.39,0,42.48,0
811.47,4.6,18.5,7.1,6.4,9.01,7.22,24.93,4.83,13.19,18.13,20.26,13.85,12.26,21.89,20.4,47.19,35.62,13.33,95.26,38.84,12.46,21.24,22.45,46.46,52.3,43.83,85.79,28.5,46.02,50.17
812.08,78.12,29.63,18.61,21.27,14.86,5.03,3,24.95,3.14,35.65,1.71,13.78,7.28,7.08,8.88,3.53,1.16,11.59,3.89,7.38,11.57,11.74,10.86,8.49,7.32,5.59,4.76,20.65,6.95,9.53
812.67,15.36,18.09,8.64,25.75,58.08,4.03,15.1,10.34,22,10.31,30.5,19.38,30.85,13.32,16,13.17,39.06,12.29,17.85,23.08,13.59,15.68,7.03,21.15,9.46,9.32,10.68,4.35,26.99,51.48
813.27,3.28,14.55,17.38,10.89,23.97,2.81,11.59,0,19.64,5.32,18.96,22.34,16.32,27.39,20.61,9.28,8.14,5.72,16.32,20.59,34.09,4.35,15.39,14.72,6.12,3.42,0,12.3,9.82,6.72
813.9,6.46,3.31,5.25,2.21,0,14.41,0,8.83,0,3.52,0,0,3.8,0,0,0.59,3.01,9.68,0.89,1.84,0,11.28,3.24,2.63,2.32,3.21,25.2,0,12.58,8.02
814.49,34.11,20.07,34.22,18.34,15.59,7.24,9.85,37.34,22.13,28.95,6.65,39.27,7.07,19.45,22.33,60.53,16.23,9.91,46.2,12.81,15.02,16.13,27.57,18.56,16.37,17.46,29.09,9.17,10.8,24.73
815.11,0,3.65,5.7,1.39,13.8,0,0,0,2.67,0,0,2.19,18.91,3.15,2.65,8.79,5.15,3.99,0,6.24,2.98,8.66,0,21,0.53,3.62,0,3.23,0.93,7.17
815.7,10.08,25.28,16.1,8.15,0.4,15.8,15.98,10.32,14.43,37.19,30.95,16.78,3.97,6.35,20.44,6.08,5.83,14.97,5.46,10.08,10.07,2.65,16.31,5.2,28.01,21.63,22.24,9.97,19.11,10.46
816.3,29.46,72.34,33.63,40.15,61.2,25.27,44.69,1.46,64.62,44.32,67.66,60.33,58.65,64.84,59.78,85.83,23.45,27.32,52.46,36.67,17.62,34.2,53.69,6.35,42.27,41,55.99,29.6,55.41,28.71
816.89,11.32,0,2.03,5.76,4.02,1.34,0,21.78,0,2.18,0,0,0,0,4.47,0,0,0,0,2.33,0,0,3.69,0.27,0,0,0,0,0,0
817.48,42.91,55.78,14.85,43,8.87,21.68,68.88,25.31,54.07,37.28,43.33,64.9,32.07,43.53,47.52,63.56,21.3,29.73,48.23,30.14,25.84,26.05,32.89,44.96,30.69,5.6,44.15,6.45,52.16,14.62
818.16,18.78,0,0,0,0,1.73,0,0,0,1.28,0,0,6.22,3.14,1.76,0,0,0,14.95,0,0.62,8.83,0,0,0,0,0,0,0,0
818.75,6.05,75.42,67.11,57.7,37.31,36.22,8.09,43.29,35.58,83.3,79.41,75.59,96.17,79.47,64.02,99.9,80.98,9.96,5.12,69.12,63.92,8.74,91.18,79.5,97.73,93.78,72.99,59.6,76.39,65.54
819.43,30.57,34,46.02,16.95,54.97,56.73,39.67,10.5,6.45,45.86,7.21,7.64,59.03,42.51,40.55,45.77,50.67,35.88,30.87,40.02,35.18,22.63,36.44,13.24,13.73,37.18,11.33,8.66,42.81,49.2
820.02,6.49,4.43,1.17,0,0,2.34,5.39,6.79,0,0,4.32,1.62,0,0,3.35,6.79,0,0,1.15,0,0,2.99,1.25,4.32,4.58,0.17,1.41,0,4.39,7.96
820.62,12.01,71.04,35.39,49.86,81.91,58.03,30.6,12.82,59.75,61.41,52.1,72.88,59.81,71.09,69.87,69.61,65.67,39.5,59.38,39.94,8.29,34.7,71.08,65.4,91.16,58.11,69.77,64.34,56.23,62.72
821.22,14.36,3.74,0,14.65,20.45,3.09,29.76,0,33.58,0,44.06,36.01,0,24.61,23.95,32.54,7.17,27.18,3.3,9.17,5.21,4.52,46.49,20.77,8.01,2.86,23.66,22.16,25.8,29.63
821.82,7.05,3.56,42.11,4.51,7.64,6.53,14.16,11.15,4.34,35.34,0.82,0,40.55,9.01,6.91,2.97,4.01,0,13.33,22.26,19.57,13.24,0,3.97,24.71,27.17,0,0,0,5.62
822.43,14.42,30.97,8.58,27.46,36.74,14.61,14.81,28.1,41.47,41,45.32,32.88,42.51,45.48,31.99,54.72,37.19,23.89,40.26,40.61,8.46,11.77,21.19,7.12,39.61,42.16,29.19,34.14,28.51,47.26
823.02,1.68,0.88,2.19,0,2.21,2.51,14.47,3.48,0,1.93,7.16,3.17,0,2.35,0,0,2.41,0.29,0.56,0,0,4.92,3.94,0,0,2.82,3.95,5.43,4.53,0
823.63,25.89,33.71,19.21,16.19,15.11,23.55,4.17,4.61,23.68,5.6,19.68,8.63,17.27,33.28,21.54,18.91,14.78,9.89,6.37,19.1,4.68,6.39,18.22,21.16,3.49,12.99,25.89,4.6,16.3,5.55
824.43,24.28,45.44,54.75,26.57,49.03,29.19,42.88,12.03,85.4,73.9,77.23,107.12,92.36,87.62,100.13,93.64,69.92,40.94,57.59,50.15,44.51,17.05,81.35,83.89,82.15,48.72,82.34,67.4,80.24,64
825.02,0.25,11.44,0.57,0.8,0.22,3.58,0,2.48,0.86,3.94,0,0,4.38,0,0,1.92,0,1.69,3.8,2.45,3.87,6.78,0,0,0,1.51,3.38,1.7,5.34,2.55
825.63,17.8,27.49,27.83,2.78,23.06,21.85,8.84,13.65,32.87,35.95,12.08,52.68,50.29,32.72,29.79,52.36,27.46,13.5,23.5,23.05,25.34,8.06,20.68,32.65,39.12,30.13,18.95,28.74,28.89,19.66
826.22,30.73,47.5,55.02,28.17,60.92,49.88,31.64,14,82.45,64.72,93.8,88.3,130.22,114.46,95.05,85.2,53.13,31.47,30.44,61.82,54.88,9.15,56.3,59.74,36.9,56.18,61.5,43.3,63.02,46.51
826.93,5.12,0.53,0,0,0,0,0,3.45,1.83,3.73,1.73,0,0,0,0,0,0,0.38,1.66,0,0,12.78,0,2.87,0,2.27,0.87,3.64,4.99,4.1
827.52,25.39,25.63,14.88,4.78,9.12,17.76,9.3,8.36,22.95,26.74,23.83,34.37,37.63,33.49,45.38,29.39,12.1,6.54,11.07,11.09,23.54,7.66,21.5,25.02,7.93,11.37,21.7,12.43,21.69,20.31
828.12,2.63,0,0.34,3.48,8.4,1.25,6.68,6.41,0,1.06,0,0,0,0,2.63,1.84,0.49,0,0,1.12,0,10.17,3.07,5.97,0.84,0,0,1.22,18.9,0
828.74,82.19,94.54,43.8,34.24,76.36,62.17,75.55,33.29,100.68,127.71,122.99,121.27,86.63,116.98,113.78,109.49,90.25,77.76,95.26,68.98,104.71,6.48,103.16,106.88,112.4,136.2,125.15,106.68,58.99,108.07
829.46,16.97,29.09,6.24,17.09,19.19,23.2,9.33,15.02,66.97,76.97,51.93,56.1,9.02,49.07,64.77,54.12,29.12,30.22,18.12,29.35,44.55,5.71,36.2,45.02,55.95,34.19,34.41,16.28,61.95,25.26
830.11,14.67,7.04,7.19,1.57,7.07,3.86,0,0,0,0,1.88,0,0,0,0,0,3.05,6.17,6.03,0,0.68,19.19,8.85,3.56,9.18,1.74,3.31,3.66,2.48,1.87
830.73,46.9,69.19,5.56,23.85,42.62,24.51,23.33,20.67,49.55,71.67,31.04,42.7,86.41,54.81,54.39,51.49,10.71,35.57,45.12,45.57,46.96,15.95,35.15,44.44,56.91,27.11,15.34,26.12,33.57,54.34
831.32,14.8,28.01,21.16,20.08,7.72,12.25,4.95,14.33,21.01,32.7,40.04,26.41,22.47,49.58,29.85,45.62,24.72,24.08,25.73,29.16,30.09,5.99,35.73,25.65,36.01,11.81,21.28,25.28,24.79,16.61
831.93,0,4.69,0,4.84,0,3.44,0,1.93,0.78,0,0,2.55,0,0,0,0,0,3.22,0,3.32,0,1.94,0,0,1.63,0,2.93,4.67,0,2.98
832.52,11.01,21.92,15.09,1.82,9.71,8.1,8.41,1.87,17.38,11.41,8.46,8.61,19.19,11.24,10.51,6.14,7.25,5.42,1.34,10.98,16.31,3.63,7.92,7.28,3.18,10.43,9.09,8.53,10.16,6.13
833.19,0,0,0,0,0,0,0.59,149.65,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,4.29
833.82,268.15,332.37,269.44,181.4,275.44,132.1,111.34,0,207.51,306.58,289.52,262.08,277.44,282.55,184.25,230.31,192.15,208.5,151.28,247.76,155.12,47.49,217.98,212.6,158.51,247.5,233.64,210.98,260.67,213.75
834.48,66.51,109.52,82.3,95.24,115.89,86.25,50.2,34.46,68.95,128.15,91.99,52.06,136.72,97.61,122.83,141.24,116.84,119.82,90.9,114.13,111.52,52.37,59.44,64.22,107.42,111.89,111.44,94.63,146.89,105.66
835.07,4.4,25.07,4.23,12.39,10.64,14.34,8.15,18.65,3.32,9.91,11.7,1.02,3.91,13.61,3.49,7.52,1.66,4.05,1.45,3.78,0,7.78,0,11.4,0,1.45,0,0,2.17,0
835.76,64.89,102.37,69.65,51.89,66.13,51.64,32.57,10.77,76.63,54.59,111.02,79.85,64.16,76.25,91.91,67.09,56.08,70.04,66.87,47.59,54.39,13.46,72.87,55.42,61.72,56.91,99.02,76.95,65.36,71.12
836.4,42.76,29.82,29.99,5.92,37.92,13.78,8.39,8.27,33.42,27.19,29.74,34.14,32.81,38.62,22.12,40.08,24.29,24.25,26.68,29.78,36.87,13.93,26.5,16.92,21.34,28.61,3.55,41.15,18.86,36.94
837,0,4.8,0,6.43,0,0,4,0.77,0.45,0,0,0,0,4.71,0,0,2.57,4.14,0,5.33,2.27,0,4.71,5.41,4.58,2.95,0,1.73,0,4.89
837.59,16.08,10.64,8.33,10.41,4.01,12.58,18.94,7.54,10.72,2.64,4.42,11.97,8.03,14.89,14.44,10.64,10.27,7.59,2.66,15.87,5.74,2.88,19.79,16.03,19.73,10.59,4.48,0.93,8.01,12.51
838.18,4.96,0,2.72,6.22,3.78,6.51,3.28,0.44,0,3.09,10.31,1.49,35.29,0,13.26,2.1,0,0,0,7.11,0,0,19.94,3.26,2.47,6.11,12.82,1.01,0.66,5.47
838.77,16.85,23.92,19.39,11.71,17.58,8.67,18.23,4.54,22.4,8.59,1.07,25.65,0,27.88,7.49,36.98,13.47,13.27,2.7,0,8.94,5.5,0,3.3,5,3.18,6.28,9.83,14.48,6.97
839.37,18.49,16.52,19.1,8.93,16,14.53,8.3,3.03,12.68,11.39,3.22,11.76,19.11,11.08,5.61,1.95,9.47,6.38,0.81,9.55,3.63,8.15,3.93,3.49,9.22,9.34,7.42,15.8,4,5.96
840,0.57,1.23,0,2.78,2.15,4.94,0,7.89,1.37,1.24,6.48,1.92,0.37,3.91,0,7.1,1.58,1.11,1.57,2.85,4.81,2.11,1.79,0.82,1.7,3.22,0,0,6.08,3.19
840.63,17.78,16.59,34.76,26.72,22.98,22.87,19.46,30.81,13.71,27.66,8.17,6,11.27,8.82,33.44,25.96,30.95,18.85,25.3,5.41,17.55,47.36,23.45,27.87,28.93,21.25,33.85,2.87,8.4,2.45
841.24,10.63,2.17,10.49,7.28,9.28,13.93,19.47,2.89,15.68,0,16.86,26.27,4.66,21.46,8.54,17.3,3.05,13.51,8.06,6.97,4.83,0,10.36,11.15,27.55,10.17,4.95,12.03,18.04,16.34
841.9,4.49,12.05,0.3,1.72,1.09,2.86,4.22,10.49,2.07,7.46,1.16,0,6.62,0,0,9.68,4.61,1.45,2.78,0,4.8,3.02,2.36,0.56,1.24,4.28,0.19,1.29,3.26,2.92
842.5,12.33,12.86,16.14,18.25,6.86,10.15,10.08,19.64,21.15,5.04,31.15,18.34,28.8,12.76,29.73,26.76,22.15,8.6,9.98,4.65,20.79,9.48,4.71,7.28,13.86,7.65,29.05,11.43,18.6,5.12
843.1,7.17,0,3.14,0,4.75,1.44,3.88,8.91,3.96,3.67,0.77,7.39,1.73,4.98,3.92,3.74,2.58,0,6.96,0,1.76,0,7.78,6.08,0,1,3.19,4.99,5,1.9
843.7,14.25,17.73,7.26,10.03,9.3,10.11,19.06,5.74,5.36,21.42,15.07,12.6,8.76,21.78,23.28,21.89,4.47,11.04,20.85,19.92,13.19,6.44,12.98,8.5,8.38,12.99,2.28,2.57,20.74,17.07
844.31,18.11,36.67,43.15,32.57,40.14,28.06,35.73,8,21.19,4.36,10.16,21.35,35.88,27.79,24.07,30.22,21.34,26.78,47.5,40.05,49.17,16.93,35.2,19.52,22.73,6.76,43.9,6.07,16.5,22.93
844.93,4.13,11.48,3.68,4.98,0,1.18,0,18.33,0.74,19.36,0,1.17,0,0,1.38,3.51,0,0,1.81,0,0,1.09,0,1.15,2.96,0.29,0.4,4.2,0,2.96
845.52,4.83,11.31,28.14,12.86,23.17,12.43,22.73,9.06,5.42,13.82,19.44,19.59,28.03,4.75,8.54,2.94,24.76,19.19,27.19,15.87,5.48,16.72,19.49,18.13,23.1,23.25,26.84,8.56,38.62,12.87
846.12,8.93,8.07,0.4,2.45,0,0,0,0,0,3.41,8.38,0,0.29,2.56,1.31,3.19,0,13.01,1.31,7.57,3.8,6.07,16.88,4.99,29.61,7.05,3.96,0,0,0.91
846.72,5.84,5.61,13.71,27.28,21.28,25.65,31.84,1.9,15.14,21.33,16.52,38.29,16,1.18,14.25,18.73,29.18,1.65,20.03,12.31,19.19,15.82,2.88,19.37,0,24.46,8.48,16.75,46.13,23.55
847.36,19.3,18.91,31.54,19.76,5.02,7.52,15.26,15.62,14.62,14.19,16.11,26.37,23.41,26.79,5.13,15.6,12.9,6.25,31.7,15.63,5.68,2.18,14.32,11.05,25.85,8.02,1.4,5.25,17.34,17.98
847.99,12.33,0,0,0,5.87,0.98,4.21,3.45,1.25,3.98,2.68,1.85,3.98,0,2.88,1.64,1.22,3.22,2.9,0.82,1.31,0,1.21,0,0,0.46,14.16,0,0,2.66
848.68,26.01,44.31,31.3,19.98,24.04,24.99,24.42,10.06,49.11,71.99,38.44,30.06,46.29,59.86,60.34,68.22,27.52,38.73,81.71,38.49,49.81,34.89,54.12,69.03,68.94,72.25,44.8,58.75,51.82,51.65
849.37,4.12,31.55,22.63,10.47,6.76,13.99,6.63,8.43,4.91,26.34,27.88,5.31,33.86,42.34,25.86,33.51,24.13,9.64,23.03,5.67,24.71,17.95,25.02,32.46,21.57,9.14,41.43,14.47,15.81,20.21
849.96,5.77,3.68,1.98,2.83,0,9.27,10.86,1.92,0,3.5,1.71,0,2.37,0,0.18,0,0,6.67,2.81,4.49,0,0.51,2.56,0,5.08,0.74,3.23,0,0,1.18
850.56,14.33,15.87,15.42,24.39,22.62,26.25,11.4,11.75,23.51,15.41,37.01,47.09,54.22,20.82,27.43,41.74,52.83,20.55,14.37,11.79,43.76,39.81,37.99,53.8,34.6,16.14,77.72,61.35,20.45,22.11
851.17,6.62,4.27,5.14,4.22,2.67,0,9.7,10.23,0,1.9,5.36,0,0,1.88,1.55,2.9,3.82,7.96,7.17,0,10.35,13.64,11.82,17.53,0,27.7,8.23,25.24,15.67,3.67
851.79,10.11,10.65,4.97,13.02,5.73,13.89,0,14.3,12.9,6.49,0.54,18.22,25.5,16.27,11.98,2.23,5.28,0,8.77,16.32,5.13,3.16,0.68,2.42,29.57,0,8.25,1.19,0,7.55
852.46,9.72,31.61,18.25,20.92,22.6,13.75,20.29,10.11,33.93,44.82,50.88,50.61,45.67,23.36,28.26,57.21,31.41,12.1,8.44,43.28,15.46,16.36,51.7,50.55,49.12,40.26,24.42,27.97,23.42,53.9
853.07,8.14,0,1.44,0,0,0,0,5.82,0,0,4.81,0,0,0,0.89,0,1.22,0,1.07,4.25,0,3.79,1.67,0.71,1.13,0,3.79,2.2,2.02,3.21
853.67,10.61,20.81,8.61,18.38,15.9,20.15,11.08,5.59,29.99,16.6,27.23,28.5,37.47,32.66,17.82,6.36,16.48,15.44,14.22,21.74,9.67,4.07,41.24,37.63,18.52,31.81,12.26,28,25.87,9.36
854.45,80.22,36.18,37.34,57.81,13.87,44.6,35.47,27.02,58.28,56.26,49.22,73.16,75.54,74.56,59.26,48.33,12.77,33.86,53.83,39.77,36.04,21,46.28,41.73,82.1,51.17,48.17,52.39,71.5,58.18
855.07,0,0,4.77,0.19,0,0,0.49,5.38,0,1,0,0,2.56,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0
855.66,14.73,40.59,35.26,19.44,38.92,19.88,27.53,26.58,35.95,48.75,40.52,40.48,38.79,41.67,42.62,46.94,27.32,17.07,20.99,26.01,17.4,12,23.04,29.96,29.55,26.56,26.53,24.03,38.57,37.59
856.33,16.77,13.93,24.61,21.53,22.54,14.61,5.78,2.5,9.8,13.88,13.43,16.96,23.46,11.24,28.75,21.5,23.72,17.28,18.54,11.35,3.68,16.01,6.16,7.86,18.29,8.75,7.66,16.25,20.08,22.5
857.5,796.3,1077.62,766.9,689.7,849,592.76,351.89,389.84,708.73,809.67,959.3,678.26,879.92,866.18,1022.33,959.52,510.01,633.2,372.5,544.3,479.19,124.17,557.1,490.37,543.08,550.83,651.78,560.95,658.98,473.92
858.1,0,0,0,0,0,0,4.22,0,0,0,0,7.15,0,0,0,0,3.24,0,0.49,0,4.58,1.37,0,2.04,1.18,0,0,0,0,1.44
858.73,332.24,473.82,337.68,315.68,251.56,271.86,201.9,94.24,337.05,381.69,456.24,358.63,413.65,401.52,448.56,434.52,203.11,214.61,177.53,237.87,187.6,57.23,255.72,236.45,247.22,278.05,291.84,241.17,289.71,276.6
859.49,285.54,446.69,311.04,280.21,370.93,209.35,170.74,109.93,266.36,305.14,329.83,280.26,308.78,366.33,373.03,375.15,197.85,196.99,120.03,168.39,169.1,52.99,186.22,159.35,217.07,206.81,212.3,175.32,196.56,181.78
860.25,85.47,132.57,105.11,92.17,104.69,89.04,60.84,57.34,90.88,111.81,98.4,80.69,102.14,104.14,119.25,100.04,50.23,46.31,39.87,50.55,43.44,28.07,54.11,47.97,54.49,55.39,75.89,58.6,58.06,69.47
860.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0
861.58,422.71,598.1,364.99,288.97,444.44,197.45,255.37,197.1,189.95,337.03,390.78,403.99,382.56,326.86,436.46,487.45,165.55,218.16,207.44,170,286.52,41.51,277.34,169.64,283.02,343.74,316.24,268.68,344.09,204.83
862.22,0,0,1.93,15.29,0,0,90.64,0,188.76,0,0,0,2.21,1.33,0,0,0.63,125.54,0,0,0,1.91,0,5.27,0,173.55,0,192.56,0,0
862.86,198.14,266.13,176.99,111.18,194.16,122.89,6.67,57.82,0,214.17,205.26,177.54,203.38,208.15,158.08,154.41,138.35,0,170.88,150.14,131.89,70.81,89.42,136.44,200.58,1.49,179.21,0,153.23,173.13
863.5,50.47,107.59,70.09,47.57,95.5,61.52,40.04,16,67.3,69.42,73.83,67.4,51.05,71.75,89.52,72.29,57.12,64.65,28.25,37.16,64.12,23.24,51.05,64.76,82.81,46.46,74.02,70.55,88.87,51.41
864.28,35.88,25.14,28.88,4.74,24.31,28.12,26.2,4.57,0,43.84,37.28,0,23.29,4.31,26.18,37.93,10.33,25.4,11.17,3.79,23.96,12.82,0,23.6,46.81,23.2,41.87,22.02,27.33,20.63
864.89,0,0,0,10.26,0,0,0,4.24,27.48,0,0,23.89,4.54,37.38,0,0,4.58,0,1.51,7.79,0,7.64,15.55,0,0,0,0,0,0,0
865.48,1.7,17.56,17.21,4.26,13.88,7.04,8.46,2.54,19.72,2.89,11.86,4.95,4.51,3.44,5.75,15.12,7.62,5.75,6.54,4.25,1.19,1.28,7.02,3.34,7.84,13.48,3.05,5.58,6.89,0
866.09,0,3.79,5.93,3.26,4.66,4.76,7.57,10.8,0,0,0,0,0,0,6.7,2.28,6.45,12.96,12.36,0,10.34,9.84,0.74,3.17,18.89,6.84,20.99,4.73,11.11,3.92
866.7,5.97,9.59,3.55,9.02,12.73,0.7,20.06,7.24,7.53,10.41,8.51,13.51,17.07,18.21,6.53,9.01,4.96,4.8,0,5.73,5.35,7.56,12.31,7.66,5.38,8.02,0.95,8.9,3.48,7.18
867.31,7.47,12.38,0,8.83,9.19,2.47,2.39,0,5.57,5.47,26.42,8.19,20.63,13.66,8.95,3.33,5.33,5.14,16.54,8.09,6.89,7.41,5.16,4.66,6.79,6.7,17.3,8.95,22.73,14.64
867.92,0,8.61,5.66,0.42,7.81,1.71,11.97,12.37,10.12,6.43,0.75,3.06,2.24,0,10.49,7.52,2.36,1.54,4.34,7.59,2.73,10.36,0,0,5.63,0,8.48,1.91,5.66,2.44
868.51,7.6,21.71,5.14,20.37,2.79,11.63,10.33,4.62,16.69,11.21,13.74,9.58,11.28,8.83,2.24,9.11,17.86,9.36,10.36,17.34,12.19,3.43,13.54,2.9,16.43,7.25,9.67,8.7,33.96,4.19
869.14,0,3.89,1.13,2.8,3.14,0,1.33,0,13.74,0,0,4.64,1.48,0,2.36,1.79,1.3,4.58,0,4.01,14.43,6.65,1.69,0.88,0,2.14,4.09,0,0,3.83
