Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2097.1778204813,0,0,0.0643138718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566485732,0.0758642162,0,0,0.068243555,0,0,0,0,0,0,0,0,0,0,0.0773502684,0,0,0,0,0,0.0907363288,0.0741204113,0,0,0,0,0,0,0,0
2107.4516380338,0,0,0.0743837379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747703091,0,0,0,0,0.0555420023,0,0.0974530458,0.0977928327,0,0,0.0547650004,0,0,0.0790420258,0,0.050310311,0,0,0,0,0,0,0
2130.6596819984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079015626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2181.3805768837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637719031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2186.6165175651,0,0,0.0745698405,0.0815303248,0,0,0,0,0,0.1468266489,0,0,0,0,0.072163262,0,0,0,0,0,0.1160566794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704050427,0,0,0,0,0.0534721074,0.0912201144,0,0.0881918004,0,0.0923179103,0.0521788293,0.0924086363,0,0.0949280156,0.1326853734,0,0,0.0821319028,0,0,0,0,0
2206.3072988025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952247944,0,0,0,0,0,0.0807893173,0,0,0,0,0,0,0,0.0820421886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211.5731083066,0.0929296177,0.0539172323,0.0941648782,0.2113838623,0.1130659402,0.089847753,0.1167430119,0.1292154576,0.0971895754,0.242138628,0.0755187067,0.2112440706,0.0994904886,0.0876186916,0.1370407253,0,0.086158688,0,0.0771312173,0.0952123509,0.26066619,0.0761613932,0.1221477751,0.1350239418,0.0842559068,0.1480762751,0,0.11699242,0.0828219723,0.0764707223,0.1099838968,0.1051778746,0,0.0987136985,0,0,0.083962213,0.1023050687,0.0998151949,0,0.2043067677,0.1227234094,0.1667104932,0.2428526962,0.0998894606,0.151702513,0.2443855361,0.1128990888,0.1737180908,0.1205258393,0.1322293924,0.2705618778,0.0847329605,0.0615671536,0.1486111757,0.0953779874,0.1417841106,0.1859268271,0,0.1202832983
2220.8034061731,0,0,0.0639493842,0.0761341246,0.0949697732,0.0706268564,0.0677537684,0,0,0.0984348998,0,0,0,0,0,0,0,0,0,0.0809223996,0,0,0,0,0.0761282535,0,0,0,0.0704466468,0.0659452566,0.1398877061,0,0,0.0623091174,0,0,0.125400933,0.0695729103,0,0,0,0.0686096906,0.076209009,0.0998148552,0.150767106,0.0769916982,0.1124378171,0.08789539,0,0,0.1182456224,0.1125365574,0.056172672,0,0.0666830495,0,0,0,0,0
2241.9735464701,0,0,0.0918758469,0,0.0959095713,0.0772891065,0.0716013827,0,0,0.1509231921,0,0,0,0,0.0795162194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831810144,0,0,0,0,0,0.0958640753,0,0,0,0,0,0.0724237275,0.1184547132,0.1161292432,0,0.0977007481,0.0661161968,0.0928225157,0,0.1135472893,0.127287203,0,0,0,0,0,0,0,0
2251.2671218947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1235029359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
