Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
"3445,114819638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0336683165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3643,9170870702",0,"0,0400179087","0,0824941011",0,"0,054402861","0,0451540595","0,0902850998","0,0953012378","0,0744107242","0,1055971784","0,0531610243","0,1225984615","0,0588634867",0,"0,0734522329",0,0,0,0,0,0,"0,0572802259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0465643297","0,0333162156","0,0818821075",0,"0,0593112923",0,"0,0367329095","0,0892217022","0,0707329138",0,0,"0,0735537236",0,0,0,"0,0275693445",0,0,"0,0512450319",0,0,0,0
"3646,7371738724","0,0696751018",0,0,"0,1306398496",0,0,0,0,0,0,0,0,0,"0,0499015243",0,0,0,0,0,"0,0411965543","0,1021325522",0,"0,0999154597","0,096607834","0,0644872577","0,1116571867","0,0428102317","0,0749613918","0,0667576457","0,0383378379","0,061671036","0,0816388512",0,"0,0608583126","0,036067799","0,0266336735",0,"0,0441024201",0,0,0,"0,0486822352",0,0,0,0,0,"0,054420604","0,0922427688",0,"0,0684050095","0,1292855741",0,0,"0,0366840951","0,0765519375",0,"0,0816097621","0,0951140225",0,"0,0753303458"
"3650,9693543298",0,0,0,0,0,0,0,0,0,"0,0534736196",0,0,0,0,0,0,"0,0581554789",0,"0,0431062022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0378717781",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3673,7323980231",0,0,0,"0,0298264188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0246921266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3881,8674163507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0367968896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0320858302",0
"4412,413773898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1251975019","0,0262157982",0,0,0,0,0,0,0
"4427,9444397481",0,"0,1185432965",0,0,0,"0,1660317061",0,0,"0,1333548989",0,0,"0,1182198237",0,0,"0,1496142578","0,1151622593","0,1169045391","0,1435126644",0,0,0,"0,142228152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1274508125","0,0905264151","0,1387751901",0,"0,1708854743",0,0,0,0,0,0,"0,1131774948",0,0,0,0,0,0,0,0,0,"0,1355952143",0
"4429,9654356649","0,1507445094",0,"0,130490498","0,1447738738","0,130471935",0,"0,1449133155","0,1407457501",0,"0,1199669757","0,1590063701",0,"0,1657274712","0,1371954663",0,0,0,0,"0,1174297425","0,1844821102","0,1071332098",0,"0,11266573","0,1485159721","0,1247188603","0,1136197523","0,11904381","0,1162522167","0,1548807557","0,1576291791","0,1657712123","0,1120496324","0,1138726014","0,1658441382","0,1390149142","0,1108408222","0,168310626","0,1604773717",0,0,0,"0,1885482014",0,"0,1582253815","0,1746012495","0,139648862","0,1630216532","0,1948937737","0,1643573472",0,"0,1685479878","0,1425121244","0,1189200462","0,1954382641","0,1319693538","0,1288140844","0,1367287314","0,1199888442","0,1453563367",0,"0,1265880053"
"4441,9454291531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0859749738",0,0,0,0,0,0,0,0
"4765,2453658622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0494605986",0,0,0,0,0,0,0,0
"4779,7708686604",0,0,0,0,0,0,0,0,0,"0,0335626973",0,0,0,0,0,0,0,0,0,0,"0,0362425348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0318548595",0,0,0,0,0,0,0,0,0
"4844,8282370686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0728214073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5093,2615556386",0,0,0,0,0,0,0,0,0,0,"0,0455519116",0,0,0,"0,0368609364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0494020265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0438265359",0,0,"0,0382791906",0,0,0,0
"5095,4294734119",0,0,0,0,0,0,0,0,0,"0,0550394871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0668205204",0,"0,1222049406",0,0,0,"0,0383735051","0,0579871826","0,0741501132","0,0852984506","0,0405737483","0,0377069925","0,0689350321",0,0,"0,0556884761","0,0756120313",0,0,"0,0606216118","0,0295964859",0,"0,03715121","0,0430706958",0,0
"5307,2354554223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0312294001",0,0,0,0,0,0,0,0,0,0,0,0
"5353,7436993868","0,0678440407","0,0514198495",0,0,0,"0,0653157867",0,0,"0,0756831297",0,0,0,"0,0745577088",0,"0,0544688803","0,0666922623","0,0737280215","0,0859727813","0,0730906377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0460378275",0,0,0,"0,068991885",0,0,0,0,0,0,"0,0670815241",0,0,0,"0,0591574995",0,0,"0,0650602695",0,0,"0,0628727246",0
"5356,8217886176",0,0,"0,0688948036","0,0638469392","0,1057315857",0,"0,0516984063","0,0527858922",0,"0,0430564637","0,0647857555","0,0641477862",0,"0,0583652056",0,0,0,0,0,"0,0835430469","0,098506976","0,0608206526","0,0521917223","0,0670819599","0,0732205587","0,0883442133","0,0677465923","0,0742580425","0,0555822526","0,0660662602","0,0451248661","0,0698610396","0,0664093426","0,0772475307","0,0509872421","0,0491345688","0,0624881192","0,0413787481",0,"0,0574046732","0,0502647991","0,0672434738",0,"0,1339134204","0,0279969393","0,0699678672","0,1033449644","0,0616082156","0,0892613099",0,"0,0525955762","0,0502422579","0,132925264",0,"0,0480255594","0,0545884391",0,"0,0725847089","0,0487511204",0,"0,0719792523"
"5381,4784486412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0332619582",0,"0,0424032753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5974,390194805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0227095232",0,0,0,0,0,0,0,"0,0267106025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6052,304722926",0,0,0,0,0,0,0,0,"0,0262103135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0256699511",0
"6054,3171478813","0,0288228092","0,0260342152",0,0,0,0,0,"0,0311615706",0,0,"0,0294394224",0,0,"0,0275788299",0,0,0,0,0,"0,040300331",0,"0,0277320969",0,0,"0,0297103014",0,"0,0231121762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0372042739",0,"0,0437300724",0,0,0,"0,0331687249","0,0296382267",0,0,0,0,"0,0310821127","0,0258425448","0,0230290573","0,0281803161","0,0262126159","0,0305552392",0,"0,0292018285"
"6057,2270070005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0247534611","0,0296476199",0,"0,0250839516",0,"0,0277318031","0,0317422086","0,0333775402","0,0358015829","0,0267437208",0,"0,0338216185","0,0261212214","0,0263844134","0,0345710186","0,0332882159",0,0,0,0,0,0,0,0,0,0,0,0,"0,0327173718",0,0,0,0,0,0,0,0,0,0
"6080,1666543421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0380108583",0,0,0,0,0,0,0,0
"6227,0143580492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0449161067",0,0,0,0,0,0,0,0
"6255,2690856429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0599268172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6316,9805473803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0385964519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6340,3972024494",0,0,0,0,0,"0,030902758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6342,4445177003",0,"0,0211646148",0,0,0,0,0,0,0,"0,0385576499",0,0,"0,0374624784","0,0329709372","0,031211462",0,0,0,0,"0,0362739369",0,"0,0344460282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0418629754",0,0,"0,0359029406",0,"0,0462727714",0,0,"0,0446497572",0,0,0,0,0,0,"0,0315399542","0,0254630506","0,0237336722","0,0341686696",0,"0,0394595744",0,"0,0235041474"
