"Mass","P1aDD_1","P1aDD_2","P1aDD_3","P1aDD_4","P1aDD_5","P1aDD_6","P1aDD_7","P1bDD_1","P1bDD_2","P1bDD_3","P1bDD_4","P1bDD_5","P1bDD_6","P1bDD_7","P1bDD_8","P21aDD_1","P21aDD_2","P21aDD_3","P21aDD_4","P21aDD_5","P21aDD_6","P21aDD_7","P21aDD_8","P21bDD_1","P21bDD_2","P21bDD_3","P21bDD_4","P21bDD_5","P21bDD_6","P21bDD_7","P21bDD_8"
5473.65,0,0,0.65,0,2.93,0,0,0,0.62,0,0,0.96,2.61,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.86,0
5479.87,0,1.19,0,0,0,4.02,0,2.03,0,0,0,0,0,1.04,1.46,0,2.75,1.85,4.83,3.29,1.2,0,3.69,0,0,4.07,0,0.72,2.98,0,1.82
5486.09,0,0,0,1.41,1.28,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0.58,0,0,0,0
5507.79,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0
5514.2,0,1.03,0.68,0,0,7.98,0,0,0,0,0,0,1.6,0,0,1.68,0,1.37,0,0,0,0.79,0,2.52,0,0,0,0.91,0.72,0.41,0.87
5520.78,0,0,0,0,1.02,0,2.1,0,0,0,0,0.85,0,0.62,0,0,0,0,0,0,0,0,1.7,0,0.37,3.47,0,0,0,0,0
5530.48,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0.81,0,0,0
5546.63,0,0,0,0,0,1.79,0,3.06,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
5553.94,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.38,0,0,0
5603.47,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0
5610.19,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0
